id;name;description;year;rating;complexity;minplayers;maxplayers;playingtime;minage;categories;clean_description
1;Die Macher;"Die Macher is a game about seven sequential political races in different regions of Germany. Players are in charge of national political parties, and must manage limited resources to help their party to victory. The winning party will have the most victory points after all the regional elections. There are four different ways of scoring victory points. First, each regional election can supply one to eighty victory points, depending on the size of the region and how well your party does in it. Second, if a party wins a regional election and has some media influence in the region, then the party will receive some media-control victory points. Third, each party has a national party membership which will grow as the game progresses and this will supply a fair number of victory points. Lastly, parties score some victory points if their party platform matches the national opinions at the end of the game.&#10;&#10;The 1986 edition featured four parties from the old West Germany and supported 3-4 players. The 1997 edition supports up to five players in the re-united Germany and updated several features of the rules as well.  The 2006 edition also supports up to five players and adds a shorter five-round variant and additional rules updates by the original designer.&#10;&#10;";1986;7.58777;4.3081;3;5;240;14;Economic, Negotiation, Political;die macher seven sequential political race different region germany charge national political party manage limited resource help party party regional election different way regional election supply eighty depend size region party second party regional election medium influence region party receive medium party national party membership grow progress supply fair number lastly party party platform match national opinion end party old west germany support support united germany update support add short additional update original designer
2;Dragonmaster;"Dragonmaster is a trick-taking card game based on an older game called Coup d'&#195;&#137;tat. Each player is given a supply of plastic gems, which represent points. Each player will get to be the dealer for five different hands, with slightly different goals for each hand. After all cards have been dealt out, the dealer decides which hand best suits his or her current cards, and the other players are penalized points (in the form of crystals) for taking certain tricks or cards. For instance, if &quot;first&quot; or &quot;last&quot; is called, then a player is penalized for taking the first or last tricks. All players will get a chance to be dealer for five hands, but other players can steal this opportunity by taking all of the tricks during certain hands. At the end, the biggest pile of gems wins the game.&#10;&#10;Jewel contents:&#10;&#10;10 clear (2 extra)&#10;14 green (2 extra)&#10;22 red (2 extra)&#10;22 blue (2 extra)&#10;&#10;";1981;6.66468;1.9643;3;4;30;12;Card Game, Fantasy;dragonmaster trick taking card base old call coup d tat give supply plastic gem represent dealer different hand slightly different hand card deal dealer decide hand good suit current card penalize form crystal take certain trick card instance call penalize take trick chance dealer hand steal opportunity take trick certain hand end big pile gem jewel content clear extra green extra red extra blue extra
3;Samurai;"Samurai is set in medieval Japan. Players compete to gain the favor of three factions: samurai, peasants, and priests, which are represented by helmet, rice paddy, and Buddha figures scattered about the board, which features the islands of Japan. The competition is waged through the use of hexagonal tiles, each of which help curry favor of one of the three factions &mdash; or all three at once! Players can make lightning-quick strikes with horseback ronin and ships or approach their conquests more methodically. As each figure (helmets, rice paddies, and Buddhas) is surrounded, it is awarded to the player who has gained the most favor with the corresponding group.&#10;&#10;Gameplay continues until all the symbols of one type have been removed from the board or four figures have been removed from play due to a tie for influence.&#10;&#10;At the end of the game, players compare captured symbols of each type, competing for majorities in each of the three types. Ties are not uncommon and are broken based on the number of other, &quot;non-majority&quot; symbols each player has collected.&#10;&#10;The game is part of what is sometimes called the Knizia tile-laying trilogy.&#10;&#10;";1998;7.47596;2.442;2;4;60;10;Abstract Strategy, Medieval;samurai set medieval japan compete gain favor faction samurai peasant priest represent helmet rice paddy buddha figure scatter island japan competition wage use hexagonal tile help curry favor faction mdash lightning quick strike horseback ronin ship approach conquest methodically figure helmet rice paddy buddha surround award gain favor correspond group continue symbol remove figure remove tie influence end compare capture symbol compete majority tie uncommon break base number non majority symbol collect call knizia tile lay trilogy
4;Tal der Könige;"When you see the triangular box and the luxurious, large blocks of Tal der K&ouml;nige (German: &quot;Valley of the Kings&quot;), you can tell this game was designed to be beautiful as well as functional.  The object of the game is to build pyramids out of the different colored blocks.  A pyramid scores more points when it's made from a few colors, but it's much harder to consistently outbid the other players for the necessary blocks.  The game is over when the Pharoah's Pyramid in the center is completed, which is built using all the blocks that the players don't use during the course of the game.&#10;&#10;Final round 1990 Hippodice Spieleautorenwettbewerb.&#10;&#10;";1992;6.6154;2.6875;2;4;60;12;Ancient;triangular box luxurious large block tal der k ouml nige german valley king tell beautiful functional object build pyramid different colored block pyramid color hard consistently outbid necessary block pharoah pyramid center complete build block don t use course final hippodice spieleautorenwettbewerb
5;Acquire;"In Acquire, each player strategically invests in businesses, trying to retain a majority of stock.  As the businesses grow with tile placements, they also start merging, giving the majority stockholders of the acquired business sizable bonuses, which can then be used to reinvest into other chains.  All of the investors in the acquired company can then cash in their stocks for current value or trade them 2-for-1 for shares of the newer, larger business.  The game is a race to acquire the greatest wealth.&#10;&#10;History of Acquire: This Sid Sackson classic has taken many different forms over the years depending on the publisher, yet the rules and game play have stayed the same. The 1966 version of the 3M bookshelf edition included rules for a 2-player variant. The original version is part of the 3M Bookshelf Series.&#10;&#10;Many books and websites incorrectly list this as a 1962 publication as the 3M Company used previously copyrighted artwork when they released the game in 1964. 3M actually received the idea for the game of &quot;Vacations&quot; from Sid Sackson in May of 1963 and decided to take his idea and put it into artwork they had developed the year before for a game called &quot;ACQUIRE.&quot; 3M's original game idea for a game called ACQUIRE must not have been very good so they decided to take Sid's idea of Vacations and put it into their concept of ACQUIRE. They released some limited test market games in 8 Midwestern U.S. cities in December of 1963 with a box that had a 1963 copyright. These games had Sid's original rules. When 3M released the mass market games in 1964, they had developed some of Sid's original ideas and changed some rules and game play to match their production desires. They released them with outer boxes that were copyrighted 1962 and inner boxes with rules that were dated 1963.&#10;&#10;December 1963 - Test Market World Map Wood Tile Edition&#10;1964 - Dated 1962/63 wood tiles, chipboard with plastic overlay &amp; stocks with printed backs&#10;1965 - Dated 1962/63 plastic tiles, chipboard with plastic overlay &amp; stocks with printed backs (last edition made with printed backs until 1999)&#10;1966 - Dated 1962/66 plastic tiles, chipboard with plastic overlay &amp; non-wax coated stocks (Only edition with these stocks)&#10;1968 - Dated 1968/66 plastic tiles, clear plastic board with paper underlay (Both 1966 inner box games have a lot of mixed parts)&#10;1971 - Dated 1968/71 plastic tiles, yellow hard plastic board&#10;1975 - 3M sells rights for game of ACQUIRE to the Avalon Hill Company&#10;1976 - Dated 1976 plastic tiles, yellow hard plastic board, redesigned money, no inner box (This edition was also produced in 1977, 79, 81, 82,       &amp; 86)&#10;1989 - Dated 1976 Gray box edition with new box artwork same contents as regular 1976 editions (This edition was also produced in 1992)&#10;1995 - Dated 1995 Large box cardboard edition with chipboard board and tiles, Special Powers Variant Tiles inspired by German editions&#10;1997 - Avalon Hill sells the rights to the game of ACQUIRE to Hasbro&#10;1999 - Dated 1999 Large box with large plastic board and tiles, 3D company buildings, redesigned stocks &amp; money, large info cards&#10;2006 - Hasbro assigns rights for the game of ACQUIRE to their subsidiary, Wizards of the Coast&#10;2006 - Lloyd's (private) Rules of ACQUIRE are made public, two major rule changes that help to bring the balance of the game of ACQUIRE back to the  intentions of Sid Sackson's original ideas. Lloyd Solon's Rules help players to correct poor strategy during the beginning of the game that can been seen with new and unexperienced players (running out of money soon is the main mistake that must be omitted!).  &#10;2008 - Dated 2008 cardboard edition with chipboard board &amp; tiles, redesigned stocks &amp; money&#10;2016 - Dated 2016 The current affordable mass-market edition. It looks at first sight to be similar to previous modern editions, but has been criticised for the use of inferior design choices such as hard-to-read grey-on-grey embossed slots and the unusual tile fonts. It contains modified rules and a slightly smaller playing grid. Although these changes have been criticised for not ultimately improving upon Sackson's original design, they are generally regarded as not being too damaging to it.&#10;2023 - Renegade Game Studio partners with Hasbro, and releases their new version, with Classic Mode or Tycoon Mode &mdash; play with or without tertiary stockholder merger bonus. &#10;2024 - The Renegade 60th Anniversary edition includes a set of plastic weighted poker chips, and Special Powers Variant cards.&#10;&#10;";1964;7.35053;2.4923;2;6;90;12;Economic, Territory Building;acquire strategically invest business try retain majority stock business grow tile start merge give majority stockholder acquire business sizable bonus reinvest chain investor acquire company cash stock current value trade share newer large business race acquire great wealth history acquire sid sackson classic take different form year depend publisher stay m bookshelf include original m bookshelf series book website incorrectly list publication m company previously copyright artwork release m actually receive idea vacation sid sackson decide idea artwork develop year call acquire m original idea call acquire good decide sid idea vacation concept acquire release limited test market midwestern u city december box copyright sid original m release mass market develop sid original idea change match production desire release outer box copyright inner box date december test market world map wood tile date wood tile chipboard plastic overlay amp stock print back date plastic tile chipboard plastic overlay amp stock print back print back date plastic tile chipboard plastic overlay amp non wax coat stock stock date plastic tile clear plastic paper underlay inner box lot mixed part date plastic tile yellow hard plastic m sell right acquire avalon hill company date plastic tile yellow hard plastic redesign money inner box produce amp date gray box new box artwork content regular produce date large box cardboard chipboard tile special power tile inspire german avalon hill sell right acquire hasbro date large box large plastic tile d company building redesign stock amp money large info card hasbro assign right acquire subsidiary wizard coast lloyd private acquire public major change help bring balance acquire intention sid sackson original idea lloyd solon help correct poor strategy beginning see new unexperienced run money soon main mistake omit date cardboard chipboard amp tile redesign stock amp money date current affordable mass market look sight similar previous modern criticise use inferior hard read grey grey embossed slot unusual tile font contain modify slightly small playing grid change criticise ultimately improve sackson original generally regard damaging renegade studio partner hasbro release new classic tycoon mdash tertiary stockholder merger bonus renegade th anniversary include set plastic weight poker chip special power card
6;Mare Mediterraneum;"In the ancient lands along the Mediterranean, players attempt to satisfy their unique victory conditions via trade, war and construction.  This lavishly produced game contains tons of wooden game components and a beautiful roll-out vinyl map.  Players produce a score of different commodities to trade with other cities in the hope of creating enough income to fill their capitals with buildings, produce artwork, and fill warehouses with goods.&#10;&#10;";1989;6.4523;3.0;2;6;240;12;Civilization, Nautical;ancient land mediterranean attempt satisfy unique condition trade war construction lavishly produce contain ton wooden component beautiful vinyl map produce different commodity trade city hope create income fill capital building produce artwork fill warehouse good
7;Cathedral;"In Cathedral, each player has a set of pieces of a different color. The pieces are in the shapes of buildings, covering from one to five square units. The first player takes the single neutral Cathedral piece and places it onto the board. Players then alternate placing one of their buildings onto the board until neither player can place another building. Players capture territory by surrounding areas that are occupied by at most one opponent or neutral building. A captured piece is removed and captured territory becomes off-limits to the opponent. The player with the fewest 'square units' of buildings that can't be placed wins.&#10;&#10;";1979;6.54958;1.7887;2;2;20;8;Abstract Strategy, Children's Game, City Building, Territory Building;cathedral set piece different color piece shape building cover square unit take single neutral cathedral piece place alternate place building place building capture territory surround area occupy opponent neutral building capture piece remove capture territory limit opponent few square unit building t place
8;Lords of Creation;"In this interesting offering from Warfrog, players become Gods seeking to dominate a world with their followers.  The first part of the game involves constructing the game board, after which players take turns using cards to determine how many new people should appear and what type of terrain they will inhabit.  All tribes start off as barbarians, but soon the calming effect of civilization settles the marauding bands; although civilized tribes score more, they can no longer attack.  What they can do, though, is civilize other players' followers.  Sure it gives opponents more points, but at least those followers won't come after you!&#10;&#10;";1993;6.05322;2.4;2;5;120;12;Civilization, Fantasy;interesting offering warfrog god seek dominate world follower involve construct card determine new people appear terrain inhabit tribe start barbarian soon calming effect civilization settle marauding band civilized tribe long attack civilize follower sure give opponent follower t come
9;El Caballero;"Although referred to as a sequel to El Grande, El Caballero shares few aspects with its namesake, being a fun but intense brain-burner in which players explore and attempt to control the lands and waterways of the New World.&#10;&#10;The players are following Columbus by exploring the islands he discovered. Players slowly explore the islands &ndash; by picking and placing land tiles that are most favorable to them &ndash; and discover wealth in the form of gold and fish. As they learn about the land and sea areas of this new land, they position their caballeros to try to maintain control of the important regions. Castillos give them a measure of protection from others, and ships allow them to establish trade and to fish for food. Success is measured in the size of land and sea areas they control. Their success is measured twice, and in the end these scores are summed and the winner declared.&#10;&#10;";1998;6.46943;2.9515;2;4;90;13;Exploration;refer sequel el grande el caballero share aspect namesake fun intense brain burner explore attempt land waterway new world follow columbus explore island discover slowly explore island ndash pick place land tile favorable ndash discover wealth form gold fish learn land sea area new land position caballero try maintain important region castillo measure protection ship allow establish trade fish food success measure size land sea area success measure twice end sum winner declare
10;Elfenland;"Elfenland is a redesign of the original White Wind game Elfenroads.  The game is set in the mythical world of the elves.  A group of fledgling elves (the players) are charged with visiting as many of the twenty Elfencities as they can over the course of 4 rounds.  To accomplish the task they will use various forms of transportation such as Giant Pigs, Elfcarts, Unicorns, Rafts, Magic Clouds, Trollwagons, and Dragons.&#10;&#10;Gameplay:  Players begin in the Elf capitol, draw one face down movement tile, and are dealt eight transport cards and a secret 'home' city card that they must reach at the end of the 4th round or lose points for each city space away from 'home' they are at the end of the game. Markers of each player's color are placed in each city on the board and are collected when the player visits that city (each counts as 1 point).&#10;  &#10;     The round proceeds in 2 stages.  The first part of the round consists of the drawing of Tiles showing the differing types of transport (except rafts) from a combination of face up and face down tiles (if a player doesn't like the 5 tiles that are face up; they can always draw blind from the face down tiles and hope to get one they need).  These transport tiles need to match the Transportation cards in your hand to use them most effectively.  After each player has a total of 4 tiles they take turns placing a tile on any one of the roads that run between the elf cities.  Only one transport tile may be placed on each road; so players may use other players tiles to travel if they have the matching cards in their hand.  This frequently causes a readjustment of planned travel routes as other players tiles can allow you to move farther or shorter than you had first thought.  Players can play their tiles to help themselves or hinder others by playing a slow mode of transport on another players (perceived) path.&#10;&#10;Each mode of transport has certain terrain it can travel through quickly or slowly, and those that it cannot. These are listed on the top of each transportation card by the number terrain symbols.  The number of terrain symbols equals how many matching cards you must play to move across a given tile in a given terrain.  For example, a Magic Cloud tile placed in a mountain would take one Magic cloud card to travel across (1 mountain symbol on card means Magic clouds are fast in mountains). If the same tile was placed on a road in forest terrain it would require 2 Magic Cloud cards to travel that route (2 Forest symbols on card means Magic Clouds are slow in Forest).  Magic Clouds cannot travel in desert terrain at all (no desert symbols on card). All modes of transport are different and Rafts can be used on rivers or lakes without needing tiles. Rafts go slow upstream (2 raft cards needed) and fast downstream (1 card needed).  The small lake requires 1 raft card to travel across and the larger lake requires 2 cards to travel across.  Players may keep one unused transport counter and up to 4 Transportation cards from one round to the next.&#10;&#10;The second part of the round begins after all players have finished placing their transportation tiles for the round.  Each player plays his cards and moves his elf-boot around the board collecting his tokens from the cities visited.  If there is a Transport tile on a route and a player has no matching Transportation card he may 'Caravan' across it by playing any 3 Transportation cards from his hand.&#10;&#10;As a bit of 'take that' each player has a trouble tile which can be placed next to any transportation tile during the first part of the round.  This counter means that in order to travel that path an additional card of the transport type must be played or 4 cards to 'Caravan'.&#10;&#10;Victory: if at the end of round 3 a player has visited all 20 cities he is the winner.  If not the game ends after round 4 when 'Home' cities are revealed and each player subtracts points for each city he is away from his 'home' subtracting that from his collected city tokens.  The person with the highest score wins.&#10;&#10;";1998;6.67221;2.1511;2;6;60;10;Fantasy, Travel;elfenland redesign original white wind elfenroad set mythical world elf group fledgling elve charge visit elfencitie course accomplish task use form transportation giant pig elfcart unicorn raft magic cloud trollwagon dragon begin elf capitol draw face tile deal transport card secret home city card reach end th city space away home end marker color place city collect visit city count proceed stage consist drawing tile show differ transport raft combination face face tile doesn t like tile face draw blind face tile hope need transport tile need match transportation card hand use effectively total tile place tile road run elf city transport tile place road use tile travel match card hand frequently cause readjustment plan travel route tile allow far short think tile help hinder slow transport perceive path transport certain terrain travel quickly slowly list transportation card number terrain symbol number terrain symbol equal matching card give tile give terrain example magic cloud tile place mountain magic cloud card travel mountain symbol card mean magic cloud fast mountain tile place road forest terrain require magic cloud card travel route forest symbol card mean magic cloud slow forest magic cloud travel desert terrain desert symbol card transport different raft river lake need tile raft slow upstream raft card need fast downstream card need small lake require raft card travel large lake require card travel unused transport transportation card second begin finish place transportation tile card elf boot collect token city visit transport tile route matching transportation card caravan transportation card hand bit trouble tile place transportation tile mean order travel path additional card transport card caravan end visit city winner end home city reveal subtract city away home subtract collect city token person high
